Area,Producto,Ano,Unidad,Valor
Ecuador,Maiz,2010,USD,380
Ecuador,Maiz,2011,USD,250
Ecuador,Maiz,2012,USD,315.9
Ecuador,Maiz,2013,USD,361
Ecuador,Maiz,2014,USD,335.6
Ecuador,Maiz,2015,USD,357.1
Ecuador,Maiz,2016,USD,381.6
Ecuador,Maiz,2017,USD,363
Ecuador,Maiz,2018,USD,316.1
Ecuador,Maiz,2019,USD,330.1
Ecuador,Maiz,2020,USD,333.4
Peru,Maiz,2010,USD,300
Peru,Maiz,2011,USD,290
Peru,Maiz,2012,USD,300
Peru,Maiz,2013,USD,255
Peru,Maiz,2014,USD,310
Peru,Maiz,2015,USD,325.1
Peru,Maiz,2016,USD,310.7
Peru,Maiz,2017,USD,321
Peru,Maiz,2018,USD,329
Peru,Maiz,2019,USD,301
Peru,Maiz,2020,USD,360
